Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),Thickness_min (mm),F_pull_from_nugget
232,60,400,0,92.53,3023.8,0.638,0.629,AISI 1010 carbon steel,2620.3,3.24,Good,,1.267,0.629,2407.480361943668
410,60,400,15,95.08,3176.92,0.634,0.623,AISI 1010 carbon steel,3015.0,3.94,Good,,1.257,0.623,3560.1244233604552
182,80,600,0,108.2,3153.0,0.636,0.633,AISI 1010 carbon steel,2765.0,3.49,Good,,1.269,0.633,2793.3386256392005
211,60,400,0,92.93,2883.46,0.631,0.627,AISI 1010 carbon steel,2720.2,3.52,Good,,1.258,0.627,2841.568041897845
118,80,800,0,115.91,3470.34,0.635,0.635,AISI 1010 carbon steel,2692.7,3.42,Good,,1.27,0.635,2682.4086748816785
339,60,600,15,89.33,3782.88,0.636,0.62,AISI 1010 carbon steel,2647.8,3.48,Good,,1.256,0.62,2777.3538880584697
2,35,1500,0,52.25,2014.73,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE,1.845,0.92,2558.3836234661994
204,60,400,0,93.01,3031.75,0.638,0.639,AISI 1010 carbon steel,2714.2,3.5,Good,,1.277,0.638,2809.3692304726724
212,60,400,0,93.07,2519.95,0.626,0.629,AISI 1010 carbon steel,2719.6,3.25,Good,,1.255,0.626,2422.36428545858
331,60,800,15,83.46,3518.08,0.625,0.629,AISI 1010 carbon steel,3091.0,3.42,Good,,1.254,0.625,2682.4086748816785
191,60,400,0,91.89,3352.87,0.64,0.637,AISI 1010 carbon steel,3056.3,3.4,Good,,1.277,0.637,2651.127208511354
484,60,1200,0,97.67,4474.81,0.629,0.62,AISI 1010 carbon steel,2925.3,3.6,Good,,1.249,0.62,2972.197977708232
91,80,800,0,114.95,3068.97,0.645,0.653,AISI 1010 carbon steel,2843.4,3.47,Good,,1.298,0.645,2761.415017730482
119,80,800,0,115.91,2965.79,0.627,0.641,AISI 1010 carbon steel,2685.5,3.28,Good,,1.268,0.627,2467.291259519771
227,60,400,0,93.19,3145.9,0.628,0.635,AISI 1010 carbon steel,2762.0,3.61,Good,,1.263,0.628,2988.7331223218703
148,80,600,0,107.86,2882.27,0.62,0.612,AISI 1010 carbon steel,2743.9,3.3,Good,,1.232,0.612,2497.4719118242774
485,60,1200,0,97.17,5009.43,0.623,0.625,AISI 1010 carbon steel,2426.5,3.96,Good,,1.248,0.623,3596.35955302696
162,80,600,0,108.36,2734.04,0.618,0.628,AISI 1010 carbon steel,2830.2,3.52,Explode,,1.246,0.618,2841.568041897845
306,60,800,15,80.29,3571.94,0.629,0.627,AISI 1010 carbon steel,3104.8,3.59,Good,,1.256,0.627,2955.7087003473343
377,60,600,15,94.24,3736.67,0.618,0.626,AISI 1010 carbon steel,3139.4,4.02,Good,,1.244,0.618,3706.165756092291
422,60,400,15,95.81,2655.54,0.626,0.63,AISI 1010 carbon steel,2899.0,3.11,Explode,,1.256,0.626,2218.163276249366
203,60,400,0,92.71,3277.12,0.643,0.631,AISI 1010 carbon steel,2727.9,3.16,Good,,1.274,0.631,2290.060194923096
69,80,1000,0,103.65,3215.12,0.616,0.636,AISI 1010 carbon steel,2654.4,3.47,Good,,1.252,0.616,2761.415017730482
367,60,600,15,94.74,4493.22,0.625,0.639,AISI 1010 carbon steel,3080.2,3.42,Good,,1.264,0.625,2682.4086748816785
476,60,1200,0,97.92,3369.24,0.627,0.616,AISI 1010 carbon steel,2835.0,4.12,Good,,1.243,0.616,3892.8454747539045
492,60,1200,0,98.07,3601.67,0.666,0.633,AISI 1010 carbon steel,3105.4,4.35,Good,,1.299,0.633,4339.615450091358
352,60,600,15,92.07,3950.14,0.619,0.624,AISI 1010 carbon steel,2754.3,3.56,Good,,1.243,0.619,2906.5160717810995
293,60,800,15,75.01,3307.94,0.62,0.615,AISI 1010 carbon steel,2806.9,3.34,Good,,1.235,0.615,2558.3836234661994
28,35,1500,15,55.03,1168.61,0.939,0.93,AISI 1010 carbon steel,3855.5,2.73,Explode,DOE,1.869,0.93,1709.2202398195739
305,60,800,15,81.25,3508.78,0.628,0.62,AISI 1010 carbon steel,3114.3,3.7,Good,,1.248,0.62,3139.613450218032
450,60,1200,15,95.62,3594.02,0.619,0.617,AISI 1010 carbon steel,3116.1,3.52,Good,,1.236,0.617,2841.568041897845
189,60,400,0,91.17,3119.0,0.64,0.633,AISI 1010 carbon steel,2634.6,2.7,Bad,,1.273,0.633,1671.8613624608804
409,60,400,15,95.08,2991.2,0.622,0.628,AISI 1010 carbon steel,2817.7,3.16,Good,,1.25,0.622,2290.060194923096
246,60,1000,15,73.37,3528.34,0.64,0.63,AISI 1010 carbon steel,3039.0,3.33,Good,,1.27,0.63,2543.086894676606
467,60,1200,0,97.32,4214.72,0.621,0.631,AISI 1010 carbon steel,2979.2,3.75,Good,,1.252,0.621,3225.041208450772
361,60,600,15,94.74,3834.81,0.62,0.615,AISI 1010 carbon steel,2611.3,3.26,Good,,1.235,0.615,2437.294076226234
143,80,600,0,107.55,3275.54,0.625,0.628,AISI 1010 carbon steel,2743.5,3.17,Good,,1.253,0.625,2304.5771804160686
175,80,600,0,108.68,4017.06,0.625,0.64,AISI 1010 carbon steel,2769.8,4.02,Good,,1.265,0.625,3706.165756092291
372,60,600,15,93.23,4590.92,0.631,0.627,AISI 1010 carbon steel,3054.5,3.65,Good,,1.258,0.627,3055.3323733038515
61,80,1000,0,100.69,3379.44,0.62,0.634,AISI 1010 carbon steel,2911.6,3.74,Good,,1.254,0.62,3207.8639222987395
167,80,600,0,107.89,3474.3,0.642,0.637,AISI 1010 carbon steel,2734.5,3.34,Good,,1.279,0.637,2558.3836234661994
252,60,1000,15,-99.0,-99.0,0.639,0.633,AISI 1010 carbon steel,3168.2,3.39,Good,Communication error,1.272,0.633,2635.555276205306
264,60,1000,15,74.08,3758.25,0.636,0.638,AISI 1010 carbon steel,3226.8,3.72,Good,,1.274,0.636,3173.6469517529013
199,60,400,0,91.8,3642.98,0.637,0.634,AISI 1010 carbon steel,2723.2,3.65,Good,,1.271,0.634,3055.3323733038515
147,80,600,0,107.91,3023.8,0.616,0.618,AISI 1010 carbon steel,2762.0,3.22,Good,,1.234,0.616,2377.8501166720703
286,60,800,15,74.76,4577.79,0.623,0.62,AISI 1010 carbon steel,3136.5,3.99,Good,,1.243,0.62,3651.056251922286
480,60,1200,0,98.49,2308.35,0.624,0.626,AISI 1010 carbon steel,1410.3,1.9,Bad,,1.25,0.624,827.9039120005182
483,60,1200,0,97.35,3971.85,0.63,0.628,AISI 1010 carbon steel,2978.6,3.93,Good,,1.258,0.628,3542.075659406317
338,60,600,15,89.22,4321.11,0.625,0.621,AISI 1010 carbon steel,2817.7,3.23,Good,,1.246,0.621,2392.642305681498
382,60,600,15,95.53,3630.68,0.613,0.623,AISI 1010 carbon steel,2969.0,3.68,Good,,1.236,0.613,3105.7634176941324
285,60,1000,15,76.57,4481.34,0.627,0.63,AISI 1010 carbon steel,3155.6,3.55,Good,,1.257,0.627,2890.210263431172
192,60,400,0,91.92,3598.8,0.646,0.634,AISI 1010 carbon steel,2737.5,3.19,Good,,1.28,0.634,2333.748753160242
284,60,1000,15,76.72,3778.78,0.624,0.619,AISI 1010 carbon steel,3107.1,3.28,Good,,1.243,0.619,2467.291259519771
419,60,400,15,95.69,2987.75,0.624,0.623,AISI 1010 carbon steel,2795.5,3.47,Good,,1.247,0.623,2761.415017730482
477,60,1200,0,98.26,3954.05,0.624,0.621,AISI 1010 carbon steel,2878.7,3.89,Good,,1.245,0.621,3470.3392761171863
99,80,800,0,115.37,3366.69,0.653,0.635,AISI 1010 carbon steel,2582.0,3.09,Good,,1.288,0.635,2189.7255795490714
85,80,800,0,114.77,3367.71,0.641,0.635,AISI 1010 carbon steel,2659.2,3.22,Good,,1.276,0.635,2377.8501166720703
139,80,600,0,104.29,3240.7,0.624,0.619,AISI 1010 carbon steel,2823.6,2.86,Good,,1.243,0.619,1875.878902659124
333,60,800,15,81.8,4235.89,0.628,0.644,AISI 1010 carbon steel,3069.5,3.8,Good,,1.272,0.628,3311.6156480020727
311,60,800,15,78.62,3119.0,0.631,0.632,AISI 1010 carbon steel,2978.0,3.65,Good,,1.263,0.631,3055.3323733038515
229,60,400,0,92.56,3628.31,0.638,0.634,AISI 1010 carbon steel,2701.6,3.52,Good,,1.272,0.634,2841.568041897845
314,60,800,15,78.09,3709.42,0.63,0.624,AISI 1010 carbon steel,3062.3,3.72,Good,,1.254,0.624,3173.6469517529013
154,80,600,0,107.31,2722.06,0.636,0.638,AISI 1010 carbon steel,2587.4,3.33,Good,,1.274,0.636,2543.086894676606
418,60,400,15,95.88,3014.11,0.636,0.623,AISI 1010 carbon steel,2846.4,3.4,Good,,1.259,0.623,2651.127208511354
138,80,600,0,103.95,4029.03,0.623,0.616,AISI 1010 carbon steel,2704.5,3.27,Good,,1.239,0.616,2452.269734246632
15,35,1500,0,46.58,1123.59,0.931,0.938,AISI 1010 carbon steel,5634.8,4.55,Good,DOE,1.869,0.931,4747.833999498816
416,60,400,15,95.86,2936.65,0.633,0.629,AISI 1010 carbon steel,2863.7,3.44,Good,,1.262,0.629,2713.8736102629728
150,80,600,0,107.7,3483.69,0.619,0.624,AISI 1010 carbon steel,2918.9,3.15,Good,,1.243,0.619,2275.5890766828647
348,60,600,15,91.64,4181.53,0.627,0.625,AISI 1010 carbon steel,3096.4,3.34,Good,,1.252,0.625,2558.3836234661994
217,60,400,0,93.27,2964.63,0.632,0.639,AISI 1010 carbon steel,2969.0,3.16,Good,,1.271,0.632,2290.060194923096
164,80,600,0,107.82,3155.19,0.631,0.636,AISI 1010 carbon steel,2752.5,3.18,Good,,1.267,0.631,2319.1400331617842
244,60,1000,15,73.97,4443.18,0.639,0.639,AISI 1010 carbon steel,3242.3,4.57,Good,,1.278,0.639,4789.664933999896
269,60,1000,15,74.06,3901.51,0.643,0.642,AISI 1010 carbon steel,3220.8,3.62,Good,,1.285,0.642,3005.314134188252
140,80,600,0,104.3,3290.74,0.621,0.626,AISI 1010 carbon steel,2614.3,3.15,Good,,1.247,0.621,2275.5890766828647
188,60,400,0,91.6,2933.14,0.64,0.617,AISI 1010 carbon steel,2908.6,3.22,Good,,1.257,0.617,2377.8501166720703
390,60,400,15,95.18,3963.18,0.626,0.62,AISI 1010 carbon steel,2961.2,3.48,Good,,1.246,0.62,2777.3538880584697
126,80,800,0,113.8,3341.56,0.625,0.634,AISI 1010 carbon steel,2726.7,3.28,Good,,1.259,0.625,2467.291259519771
342,60,600,15,89.7,3726.99,0.629,0.63,AISI 1010 carbon steel,3108.3,3.69,Good,,1.259,0.629,3122.6655003297105
318,60,800,15,78.07,3403.28,0.633,0.632,AISI 1010 carbon steel,3132.3,3.74,Good,,1.265,0.632,3207.8639222987395
111,80,800,0,115.49,3371.8,0.638,0.634,AISI 1010 carbon steel,2832.0,2.96,Good,,1.272,0.634,2009.35260813954
261,60,1000,15,73.6,3674.48,0.633,0.631,AISI 1010 carbon steel,3013.7,3.57,Good,,1.264,0.631,2922.8677473837683
133,80,800,0,114.68,3150.28,0.623,0.634,AISI 1010 carbon steel,2726.1,3.62,Good,,1.257,0.623,3005.314134188252
237,60,1000,15,75.28,3955.36,0.636,0.639,AISI 1010 carbon steel,3228.6,3.61,Good,,1.275,0.636,2988.7331223218703
9,35,200,0,16.47,1083.06,0.932,0.928,AISI 1010 carbon steel,1932.5,2.43,Bad,DOE,1.86,0.928,1354.207703593313
451,60,1200,15,95.72,3043.08,0.622,0.614,AISI 1010 carbon steel,3158.0,3.66,Good,,1.236,0.614,3072.0968541812026
379,60,600,15,94.96,4176.6,0.625,0.618,AISI 1010 carbon steel,3140.0,3.93,Good,,1.243,0.618,3542.075659406317
5,95,200,0,41.42,1615.83,0.948,0.939,AISI 1010 carbon steel,2174.8,2.57,Bad,DOE,1.887,0.939,1514.743088191751
95,80,800,0,114.79,3100.19,0.623,0.633,AISI 1010 carbon steel,2585.6,3.14,Good,,1.256,0.623,2261.1638256953765
388,60,400,15,95.29,3481.22,0.626,0.622,AISI 1010 carbon steel,3063.5,3.98,Good,,1.248,0.622,3632.7781517044345
179,80,600,0,108.3,4010.63,0.632,0.636,AISI 1010 carbon steel,2743.5,3.35,Good,,1.268,0.632,2573.726219508536
52,60,1000,0,77.75,2890.61,0.638,0.641,AISI 1010 carbon steel,3909.3,3.57,Good,,1.279,0.638,2922.8677473837683
302,60,800,15,80.49,3502.9,0.631,0.625,AISI 1010 carbon steel,3061.1,3.72,Good,,1.256,0.625,3173.6469517529013
358,60,600,15,94.64,4211.05,0.618,0.613,AISI 1010 carbon steel,2730.3,3.19,Good,,1.231,0.613,2333.748753160242
54,60,1000,0,85.49,2288.14,0.639,0.631,AISI 1010 carbon steel,3269.8,3.94,Good,,1.27,0.631,3560.1244233604552
363,60,600,15,94.9,3548.27,0.621,0.614,AISI 1010 carbon steel,2780.6,3.54,Good,,1.235,0.614,2873.950322333987
11,95,1500,0,129.13,1112.82,0.937,0.927,AISI 1010 carbon steel,3816.0,3.3,Good,DOE,1.864,0.927,2497.4719118242774
392,60,400,15,95.25,4134.79,0.632,0.622,AISI 1010 carbon steel,3040.2,3.31,Good,,1.254,0.622,2512.631038855645
310,60,800,15,78.65,3182.32,0.627,0.62,AISI 1010 carbon steel,3073.7,3.39,Good,,1.247,0.62,2635.555276205306
259,60,1000,15,73.27,3653.35,0.635,0.633,AISI 1010 carbon steel,3056.6,3.36,Good,,1.268,0.633,2589.114682803615
424,60,400,15,95.96,2994.65,0.623,0.623,AISI 1010 carbon steel,1793.7,2.59,Explode,,1.246,0.623,1538.410590606835
289,60,800,15,74.79,3642.51,0.629,0.629,AISI 1010 carbon steel,3135.3,3.73,Good,,1.258,0.629,3190.7325033994484
226,60,400,0,93.18,3308.46,0.641,0.633,AISI 1010 carbon steel,2729.7,3.02,Good,,1.274,0.633,2091.6384595594254
256,60,1000,15,73.32,3518.57,0.623,0.632,AISI 1010 carbon steel,3016.2,3.54,Good,,1.255,0.623,2873.950322333987
301,60,800,15,80.89,3454.44,0.62,0.62,AISI 1010 carbon steel,3017.4,3.57,Good,,1.24,0.62,2922.8677473837683
196,60,400,0,92.23,2727.75,0.617,0.627,AISI 1010 carbon steel,2608.9,3.53,Good,,1.244,0.617,2857.736248489545
362,60,600,15,94.99,4235.89,0.637,0.633,AISI 1010 carbon steel,2840.4,3.58,Good,,1.27,0.633,2939.26529023918
45,60,1000,0,77.53,2857.7,0.636,0.62,AISI 1010 carbon steel,3299.1,4.21,Good,,1.256,0.62,4064.7788716588325
107,80,800,0,116.01,3104.63,0.638,0.64,AISI 1010 carbon steel,2652.0,3.1,Good,,1.278,0.638,2203.921494272848
53,60,1000,0,85.48,2510.37,0.638,0.635,AISI 1010 carbon steel,3353.0,3.84,Good,,1.273,0.635,3381.7008101924766
115,80,800,0,115.98,3086.29,0.633,0.629,AISI 1010 carbon steel,2809.9,3.44,Good,,1.262,0.629,2713.8736102629728
400,60,400,15,94.56,3651.47,0.613,0.608,AISI 1010 carbon steel,1775.7,2.37,Bad,,1.221,0.608,1288.1588596442411
449,60,1200,15,95.42,3725.61,0.615,0.61,AISI 1010 carbon steel,2976.8,3.66,Good,,1.225,0.61,3072.0968541812026
239,60,1000,15,77.02,4210.64,0.624,0.625,AISI 1010 carbon steel,3216.0,3.66,Good,,1.249,0.624,3072.0968541812026
146,80,600,0,107.67,2936.65,0.62,0.62,AISI 1010 carbon steel,2744.7,3.65,Good,,1.24,0.62,3055.3323733038515
456,60,1200,15,95.74,3401.76,0.616,0.621,AISI 1010 carbon steel,3049.1,4.44,Good,,1.237,0.616,4521.043368313966
184,80,600,0,108.77,3078.48,0.637,0.633,AISI 1010 carbon steel,2731.5,3.29,Good,,1.27,0.633,2482.3586520456533
453,60,1200,15,95.61,3662.76,0.614,0.616,AISI 1010 carbon steel,3152.6,4.48,Good,,1.23,0.614,4602.870547206427
134,80,800,0,114.71,2983.72,0.636,0.648,AISI 1010 carbon steel,2834.4,3.72,Good,,1.284,0.636,3173.6469517529013
268,60,1000,15,74.11,4072.34,0.641,0.639,AISI 1010 carbon steel,3053.3,3.68,Good,,1.28,0.639,3105.7634176941324
243,60,1000,15,75.25,3474.3,0.627,0.637,AISI 1010 carbon steel,3228.6,3.85,Good,,1.264,0.627,3399.336768871934
255,60,1000,15,73.29,4144.76,0.63,0.64,AISI 1010 carbon steel,3167.0,3.3,Good,,1.27,0.63,2497.4719118242774
109,80,800,0,115.8,3371.29,0.638,0.632,AISI 1010 carbon steel,2580.8,3.75,Good,,1.27,0.632,3225.041208450772
37,60,1000,0,77.29,3591.63,0.642,0.642,AISI 1010 carbon steel,3327.9,3.72,Good,,1.284,0.642,3173.6469517529013
176,80,600,0,108.45,3701.99,0.64,0.634,AISI 1010 carbon steel,2768.6,3.6,Good,,1.274,0.634,2972.197977708232
399,60,400,15,94.83,3905.47,0.617,0.624,AISI 1010 carbon steel,2870.9,3.48,Good,,1.241,0.617,2777.3538880584697
258,60,1000,15,73.4,3812.32,0.641,0.637,AISI 1010 carbon steel,3188.5,3.9,Good,,1.278,0.637,3488.2045710603547
172,80,600,0,108.09,3905.03,0.632,0.633,AISI 1010 carbon steel,2803.3,3.69,Good,,1.265,0.632,3122.6655003297105
478,60,1200,0,98.02,2591.95,0.631,0.617,AISI 1010 carbon steel,1720.7,2.62,Explode,,1.248,0.617,1574.25584862503
297,60,800,15,74.82,3017.54,0.622,0.622,AISI 1010 carbon steel,3016.2,3.73,Good,,1.244,0.622,3190.7325033994484
291,60,800,15,75.27,4413.27,0.628,0.623,AISI 1010 carbon steel,3250.1,4.03,Good,,1.251,0.623,3724.6273253211134
423,60,400,15,95.84,2614.42,0.628,0.626,AISI 1010 carbon steel,2836.8,3.59,Good,,1.254,0.626,2955.7087003473343
193,60,400,0,91.98,2901.3,0.638,0.642,AISI 1010 carbon steel,2774.6,3.23,Good,,1.28,0.638,2392.642305681498
116,80,800,0,116.04,3104.63,0.633,0.64,AISI 1010 carbon steel,2643.0,3.07,Good,,1.273,0.633,2161.471351859746
278,60,1000,15,79.73,3791.51,0.62,0.621,AISI 1010 carbon steel,2922.3,3.68,Good,,1.241,0.62,3105.7634176941324
114,80,800,0,115.99,3034.59,0.646,0.651,AISI 1010 carbon steel,3062.9,3.28,Good,,1.2970000000000002,0.646,2467.291259519771
4,95,200,0,16.57,1321.93,0.912,0.924,AISI 1010 carbon steel,2350.4,2.76,Bad,DOE,1.836,0.912,1746.991922452949
240,60,1000,15,76.94,3456.43,0.634,0.633,AISI 1010 carbon steel,3232.8,3.5,Good,,1.267,0.633,2809.3692304726724
364,60,600,15,95.1,4541.95,0.628,0.624,AISI 1010 carbon steel,3040.8,3.49,Good,,1.252,0.624,2793.3386256392005
464,60,1200,15,96.28,3085.18,0.666,0.619,AISI 1010 carbon steel,3070.1,3.65,Good,,1.285,0.619,3055.3323733038515
168,80,600,0,108.17,3725.15,0.64,0.631,AISI 1010 carbon steel,2531.8,3.0,Good,,1.271,0.631,2064.0263734084942
472,60,1200,0,97.79,3940.55,0.616,0.629,AISI 1010 carbon steel,2730.3,2.93,Good,,1.245,0.616,1968.8288903416203
385,60,600,15,94.93,3454.44,0.619,0.623,AISI 1010 carbon steel,3131.7,3.47,Explode,,1.242,0.619,2761.415017730482
56,80,1000,0,102.48,3816.83,0.635,0.634,AISI 1010 carbon steel,3002.5,3.75,Good,,1.269,0.634,3225.041208450772
265,60,1000,15,74.04,4658.6,0.637,0.637,AISI 1010 carbon steel,3152.0,3.7,Good,,1.274,0.637,3139.613450218032
205,60,400,0,93.15,3342.08,0.642,0.635,AISI 1010 carbon steel,2933.7,3.41,Good,,1.277,0.635,2666.745008070146
3,95,1500,0,123.36,1063.83,0.944,0.927,AISI 1010 carbon steel,4293.8,4.43,Good,DOE,1.871,0.927,4500.701241722705
67,80,1000,0,104.09,3323.5,0.634,0.617,AISI 1010 carbon steel,2756.7,3.42,Good,,1.251,0.617,2682.4086748816785
93,80,800,0,115.36,3487.64,0.638,0.65,AISI 1010 carbon steel,2783.6,3.41,Good,,1.288,0.638,2666.745008070146
113,80,800,0,115.92,3435.47,0.632,0.632,AISI 1010 carbon steel,2511.4,3.02,Good,,1.264,0.632,2091.6384595594254
29,95,1500,15,122.48,1252.44,0.947,0.957,AISI 1010 carbon steel,5158.6,3.7,Explode,DOE,1.904,0.947,3139.613450218032
411,60,400,15,95.25,3013.54,0.625,0.63,AISI 1010 carbon steel,3111.9,4.05,Good,,1.255,0.625,3761.68806553698
169,80,600,0,108.59,3415.89,0.634,0.636,AISI 1010 carbon steel,2678.9,3.37,Good,,1.27,0.634,2604.5490133514363
300,60,800,15,80.69,4852.11,0.613,0.622,AISI 1010 carbon steel,2746.5,3.87,Good,,1.235,0.613,3434.7462879890754
233,60,400,0,92.69,2970.43,0.638,0.632,AISI 1010 carbon steel,2896.6,3.55,Good,,1.27,0.632,2890.210263431172
173,80,600,0,108.36,4029.88,0.636,0.631,AISI 1010 carbon steel,2849.4,3.44,Good,,1.267,0.631,2713.8736102629728
92,80,800,0,115.4,3074.57,0.645,0.635,AISI 1010 carbon steel,2726.7,3.53,Good,,1.28,0.635,2857.736248489545
8,35,200,0,6.58,1171.55,0.931,0.922,AISI 1010 carbon steel,1836.4,2.64,Bad,DOE,1.853,0.922,1598.382023567538
275,60,1000,15,79.86,4069.81,0.611,0.62,AISI 1010 carbon steel,3053.9,3.67,Good,,1.231,0.611,3088.9072023112963
104,80,800,0,115.94,3088.52,0.628,0.635,AISI 1010 carbon steel,2578.4,2.99,Good,,1.263,0.628,2050.2891312121424
50,60,1000,0,77.92,3050.42,0.648,0.64,AISI 1010 carbon steel,3229.2,3.92,Good,,1.288,0.64,3524.07276270492
441,60,1200,15,94.89,3229.54,0.618,0.618,AISI 1010 carbon steel,3156.2,3.88,Good,,1.236,0.618,3452.519848426759
14,95,1500,0,124.16,1078.29,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE,1.855,0.925,3560.1244233604552
66,80,1000,0,104.78,3866.08,0.628,0.63,AISI 1010 carbon steel,2618.5,3.19,Good,,1.258,0.628,2333.748753160242
290,60,800,15,75.17,3682.89,0.625,0.628,AISI 1010 carbon steel,3175.3,3.66,Good,,1.253,0.625,3072.0968541812026
324,60,800,15,79.24,3432.96,0.632,0.624,AISI 1010 carbon steel,3025.2,3.58,Explode,,1.256,0.624,2939.26529023918
294,60,800,15,74.94,3094.08,0.621,0.621,AISI 1010 carbon steel,3050.9,3.68,Good,,1.242,0.621,3105.7634176941324
38,60,1000,0,77.18,3085.18,0.644,0.639,AISI 1010 carbon steel,3270.8,4.4,Good,,1.283,0.639,4439.950065465384
374,60,600,15,93.57,4234.67,0.622,0.613,AISI 1010 carbon steel,3097.6,3.43,Explode,,1.235,0.613,2698.1182089459544
228,60,400,0,92.91,3124.51,0.619,0.642,AISI 1010 carbon steel,2808.7,3.53,Good,,1.261,0.619,2857.736248489545
180,80,600,0,108.2,3040.82,0.629,0.625,AISI 1010 carbon steel,2802.1,3.85,Good,,1.254,0.625,3399.336768871934
144,80,600,0,107.83,2973.32,0.618,0.619,AISI 1010 carbon steel,2707.6,3.38,Good,,1.237,0.618,2620.0292111519993
39,60,1000,0,77.14,3447.46,0.638,0.627,AISI 1010 carbon steel,3145.4,3.88,Good,,1.265,0.627,3452.519848426759
125,80,800,0,114.64,3127.81,0.637,0.644,AISI 1010 carbon steel,2963.0,3.44,Good,,1.281,0.637,2713.8736102629728
157,80,600,0,107.87,3192.58,0.642,0.646,AISI 1010 carbon steel,2583.2,2.83,Good,,1.288,0.642,1836.7312024434766
